Category,Level,Skill,Instruction,Key Cues,Common Mistakes
"双板","初级","基础适应","穿板站立，重心居中，小腿轻靠鞋舌。学会侧身摔倒和利用雪杖站起。","小腿贴鞋舌，膝盖微弯曲","重心后坐（后刃承重），双腿僵直"
"双板","初级","犁式制动","板尾向外推开呈内八字，板头保持一拳距离。膝盖微内扣，通过开腿幅度控制速度。","像是吃披萨，板头不打架","板头交叉（易摔），屁股向后撅太低（坐马桶姿势）"
"双板","初级","犁式转弯","保持犁式，向外侧腿（山下腿）施加压力，身体略微转向外侧腿方向。","想往左转踩右脚，想往右转踩左脚","依靠上半身大幅扭动带动转弯，而非重心转移"
"双板","中级","半犁式转弯","入弯保持犁式，出弯滑向斜跑线时主动收回内侧腿，使双板平行滑行。","一脚踩实，另一脚轻轻收回","收腿时机过晚，导致一直保持犁式状态"
"双板","中级","基础平行转弯","入弯时通过引身（Up）释放压力，同时转动双脚进入滚落线，全程保持平行。","引身-换刃-下压，双腿像铁轨一样平行","入弯时不引身，导致无法同时转动双板"
"双板","中级","点杖技术","在入弯引身瞬间，手腕轻点杖（固定器前侧方），作为节奏触发器。","点杖是节奏的开关，不是拐杖","手臂挥动幅度过大，或把杖插在雪里支撑身体"
"双板","高级","刻滑 (Carving)","利用板刃滑行，不搓雪。通过髋关节折叠（反弓）和膝盖倒向弯心建立角度。","雪板像刀片切过雪面，只留两条细线","依然用脚跟搓雪，身体内倒而非反弓"
"双板","高级","竞技大回转","高速下重心前压，极早建立板刃平台，追求短路线与空气动力学姿态。","早立刃，身体主动找板头","视线看脚下，入弯时机过晚导致线路跑偏"
"单板","初级","单脚滑动","前脚穿板，后脚蹬地。目视前方，重心锁在前脚。","像玩滑板一样，眼睛看要去的地方","低头看脚，导致身体扭曲无法走直线"
"单板","初级","前后刃推坡","面向山下（后刃）或山上（前刃），通过抬脚尖/脚跟控制板刃角度刮雪。","后刃像坐椅子，前刃像跪着求婚","扫雪（卡刃），脚尖/脚跟保持不住抬起角度"
"单板","初级","落叶飘","在推坡基础上重心左右移动，呈“Z”字形下落，不换刃。","手指哪里，去哪里，重心跟过去","身体僵硬，只转头不移重心，无法横向移动"
"单板","中级","C型/S型换刃","当板头指向滚落线瞬间完成换刃；前转时打开前肩，后转时前压前肩。","板头朝下时，就是换刃时","换刃过早（卡刃摔）或过晚（速度失控）"
"单板","中级","基础刻滑","减少搓雪，S弯中将板刃立得更高，让板子沿边缘轨迹行走。","用刃切雪，而不是用板底扫雪","依然频繁扫雪修整方向，不敢立刃"
"单板","中级","重心切换","动态滑行：入弯引身（Up）释压，弯中下压（Down）增压。","像弹簧一样伸缩","全程站直，无法吸收震动或施加压力"
"单板","高级","高级刻滑","极端立刃，身体贴雪；利用身体极度折叠维持平衡。","腋下贴雪，身体舒展","速度不够导致支撑力不足，直接拍在雪上"
"单板","高级","平地花式","利用雪板弹性（Pop/Press），包括Manual、Ollie、平地旋转等动作。","利用板子的弹性，而不是死力气跳","重心没锁死在板头或板尾，做动作时卡刃"
